Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,0
design__inferred_latch__count,0
design__instance__count,918
design__instance__area,5405.18
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_tt_025C_1v80,0
design__max_fanout_violation__count__corner:nom_tt_025C_1v80,0
design__max_cap_violation__count__corner:nom_tt_025C_1v80,0
power__internal__total,0.0008499507675878704
power__switching__total,0.000490761362016201
power__leakage__total,5.54404389063734E-9
power__total,0.00134071777574718
clock__skew__worst_hold__corner:nom_tt_025C_1v80,-0.21031849079830478
clock__skew__worst_setup__corner:nom_tt_025C_1v80,0.21031849079830478
timing__hold__ws__corner:nom_tt_025C_1v80,0.5316108814738078
timing__setup__ws__corner:nom_tt_025C_1v80,4.48437566439911
timing__hold__tns__corner:nom_tt_025C_1v80,0
timing__setup__tns__corner:nom_tt_025C_1v80,0
timing__hold__wns__corner:nom_tt_025C_1v80,0
timing__setup__wns__corner:nom_tt_025C_1v80,0
timing__hold_vio__count__corner:nom_tt_025C_1v80,0
timing__hold_r2r__ws__corner:nom_tt_025C_1v80,0.576183
timing__hold_r2r_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_r2r__ws__corner:nom_tt_025C_1v80,4.484375
timing__setup_r2r_vio__count__corner:nom_tt_025C_1v80,0
design__max_slew_violation__count__corner:nom_ss_100C_1v60,0
design__max_fanout_violation__count__corner:nom_ss_100C_1v60,0
design__max_cap_violation__count__corner:nom_ss_100C_1v60,0
clock__skew__worst_hold__corner:nom_ss_100C_1v60,-0.21539828863556806
clock__skew__worst_setup__corner:nom_ss_100C_1v60,0.21539828863556806
timing__hold__ws__corner:nom_ss_100C_1v60,1.3390828824810022
timing__setup__ws__corner:nom_ss_100C_1v60,1.1426437897064337
timing__hold__tns__corner:nom_ss_100C_1v60,0
timing__setup__tns__corner:nom_ss_100C_1v60,0
timing__hold__wns__corner:nom_ss_100C_1v60,0
timing__setup__wns__corner:nom_ss_100C_1v60,0
timing__hold_vio__count__corner:nom_ss_100C_1v60,0
timing__hold_r2r__ws__corner:nom_ss_100C_1v60,1.339083
timing__hold_r2r_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_r2r__ws__corner:nom_ss_100C_1v60,1.142644
timing__setup_r2r_vio__count__corner:nom_ss_100C_1v60,0
design__max_slew_violation__count__corner:nom_ff_n40C_1v95,0
design__max_fanout_violation__count__corner:nom_ff_n40C_1v95,0
design__max_cap_violation__count__corner:nom_ff_n40C_1v95,0
clock__skew__worst_hold__corner:nom_ff_n40C_1v95,-0.2074670216567881
clock__skew__worst_setup__corner:nom_ff_n40C_1v95,0.2074670216567881
timing__hold__ws__corner:nom_ff_n40C_1v95,0.11917189794518807
timing__setup__ws__corner:nom_ff_n40C_1v95,5.370679164521623
timing__hold__tns__corner:nom_ff_n40C_1v95,0
timing__setup__tns__corner:nom_ff_n40C_1v95,0
timing__hold__wns__corner:nom_ff_n40C_1v95,0
timing__setup__wns__corner:nom_ff_n40C_1v95,0
timing__hold_vio__count__corner:nom_ff_n40C_1v95,0
timing__hold_r2r__ws__corner:nom_ff_n40C_1v95,0.306975
timing__hold_r2r_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_r2r__ws__corner:nom_ff_n40C_1v95,5.684782
timing__setup_r2r_vio__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count,0
design__max_fanout_violation__count,0
design__max_cap_violation__count,0
clock__skew__worst_hold,-0.20687051268657436
clock__skew__worst_setup,0.20687051268657436
timing__hold__ws,0.11769485719145319
timing__setup__ws,1.073986263654217
timing__hold__tns,0
timing__setup__tns,0
timing__hold__wns,0
timing__setup__wns,0
timing__hold_vio__count,0
timing__hold_r2r__ws,0.303281
timing__hold_r2r_vio__count,0
timing__setup_vio__count,0
timing__setup_r2r__ws,1.073986
timing__setup_r2r_vio__count,0
design__die__bbox,0.0 0.0 84.655 95.375
design__core__bbox,5.52 10.88 79.12 84.32
design__io,23
design__die__area,8073.97
design__core__area,5405.18
design__instance__count__stdcell,365
design__instance__area__stdcell,3624.73
design__instance__count__macros,0
design__instance__area__macros,0
design__instance__count__padcells,0
design__instance__area__padcells,0
design__instance__count__cover,0
design__instance__area__cover,0
design__instance__utilization,0.670602
design__instance__utilization__stdcell,0.670602
design__rows,27
design__rows:unithd,27
design__sites,4320
design__sites:unithd,4320
design__instance__count__class:buffer,8
design__instance__area__class:buffer,40.0384
design__instance__count__class:inverter,15
design__instance__area__class:inverter,58.8064
design__instance__count__class:sequential_cell,40
design__instance__area__class:sequential_cell,1051.01
design__instance__count__class:multi_input_combinational_cell,132
design__instance__area__class:multi_input_combinational_cell,1300
flow__warnings__count,1
flow__errors__count,0
flow__warnings__count:ODB-0220,2
flow__warnings__type_count,1
flow__warnings__count:ORD-0039,1
design__instance__count__class:fill_cell,553
design__instance__area__class:fill_cell,1780.46
design__instance__count__class:tap_cell,72
design__instance__area__class:tap_cell,90.0864
design__power_grid_violation__count__net:VPWR,0
design__power_grid_violation__count__net:VGND,0
design__power_grid_violation__count,0
timing__drv__floating__nets,2
timing__drv__floating__pins,0
design__instance__displacement__total,223.778
design__instance__displacement__mean,0.534
design__instance__displacement__max,18.36
route__wirelength__estimated,6029.7
design__violations,0
design__instance__count__class:timing_repair_buffer,83
design__instance__area__class:timing_repair_buffer,814.531
flow__warnings__count:RSZ-0020,1
flow__warnings__count:STA-1140,6
design__instance__count__class:clock_buffer,15
design__instance__area__class:clock_buffer,270.259
design__instance__count__setup_buffer,0
design__instance__count__hold_buffer,25
global_route__vias,1907
global_route__wirelength,10419
antenna__violating__nets,0
antenna__violating__pins,0
route__antenna_violation__count,0
antenna_diodes_count,0
route__net,296
route__net__special,2
route__drc_errors__iter:0,97
route__wirelength__iter:0,6404
route__drc_errors__iter:1,41
route__wirelength__iter:1,6322
route__drc_errors__iter:2,23
route__wirelength__iter:2,6323
route__drc_errors__iter:3,0
route__wirelength__iter:3,6303
route__drc_errors,0
route__wirelength,6303
route__vias,1956
route__vias__singlecut,1956
route__vias__multicut,0
flow__warnings__count:DRT-0349,10
design__disconnected_pin__count,0
design__critical_disconnected_pin__count,0
route__wirelength__max,125.25
timing__unannotated_net__count__corner:nom_tt_025C_1v80,7
timing__unannotated_net_filtered__count__corner:nom_tt_025C_1v80,0
timing__unannotated_net__count__corner:nom_ss_100C_1v60,7
timing__unannotated_net_filtered__count__corner:nom_ss_100C_1v60,0
timing__unannotated_net__count__corner:nom_ff_n40C_1v95,7
timing__unannotated_net_filtered__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count__corner:min_tt_025C_1v80,0
design__max_fanout_violation__count__corner:min_tt_025C_1v80,0
design__max_cap_violation__count__corner:min_tt_025C_1v80,0
